geneID,Gene_name,Chr,Start,End,Gene_length
FBgn0024365,CG12773,X,1349623,1353981,4358
FBgn0024360,MTPAP,X,1344872,1349357,4485
FBgn0024366,CG11409,X,1329518,1341587,12069
FBgn0025641,DAAM,X,1289713,1322362,32649
FBgn0028550,Atf3,X,1242740,1275284,32544
FBgn0026876,CG11403,X,1236873,1239884,3011
FBgn0040366,CG11398,X,1211989,1215156,3167
FBgn0040368,eIF4E7,X,1158599,1162389,3790
FBgn0026872,CG14777,X,1466134,1468692,2558
FBgn0029580,CG14778,X,1467493,1470614,3121
FBgn0025383,CG14780,X,1472522,1473727,1205
FBgn0025381,rush,X,1478552,1481420,2868
FBgn0025394,inc,X,1483479,1517615,34136
FBgn0000482,dor,X,1665052,1668451,3399
FBgn0001189,hfw,X,1669570,1673608,4038
FBgn0029587,CG14797,X,1681566,1684891,3325
FBgn0024897,b6,X,1686624,1690187,3563
FBgn0025391,Scgdelta,X,1735945,1754065,18120
FBgn0023130,a6,X,1693615,1695889,2274
FBgn0023530,CG3740,X,1668406,1669297,891
FBgn0025390,Mur2B,X,1523554,1668788,145234
FBgn0025393,CG14795,X,1512227,1512803,576
FBgn0003517,sta,X,1481797,1483413,1616
FBgn0044508,snoRNA:M,X,1482492,1482590,98
FBgn0025382,Rab27,X,1473884,1476974,3090
FBgn0052808,CG32808,X,1468693,1469817,1124
FBgn0027791,O-fut2,X,1464363,1465996,1633
FBgn0027793,CG14787,X,1460807,1461676,869
FBgn0026873,MED18,X,1865909,1866887,978
FBgn0023513,CG14803,X,1868870,1872408,3538
FBgn0014411,Vps26,X,1873853,1876474,2621
FBgn0023514,CG14805,X,1877317,1879077,1760
FBgn0029594,Coa8,X,1880282,1881432,1150
FBgn0023519,mRpL16,X,1890256,1891482,1226
FBgn0023509,mip130,X,1908239,1920318,12079
FBgn0023510,Rbcn-3B,X,1908920,1916825,7905
FBgn0023508,Ocrl,X,1922981,1927524,4543
FBgn0023522,CG11596,X,1927683,1930517,2834
FBgn0023521,CG3587,X,1940307,1941536,1229
FBgn0025627,CG4194,X,2068592,2069688,1096
FBgn0025630,Rtca,X,2072413,2074890,2477
FBgn0025629,CG4045,X,2074795,2075900,1105
FBgn0029596,CG14054,X,2065273,2066359,1086
FBgn0025626,CG4281,X,2062313,2065142,2829
FBgn0025625,Sik2,X,2055310,2061915,6605
FBgn0025631,moody,X,2044292,2050120,5828
FBgn0026878,CG4325,X,2042730,2043818,1088
FBgn0000667,Actn,X,2023822,2042311,18489
FBgn0003964,usp,X,2038798,2042311,3513
FBgn0023545,PIG-K,X,2007911,2009364,1453
FBgn0023520,CG3857,X,1937700,1940040,2340
FBgn0023512,eIF2Bepsilon,X,1920166,1922874,2708
FBgn0023511,Edem1,X,1903704,1908827,5123
FBgn0052801,CG32801,X,1902082,1903177,1095
FBgn0023518,trr,X,1881313,1889950,8637
FBgn0026088,CG14818,X,1879019,1879774,755
FBgn0026089,CG14817,X,1876294,1877270,976
FBgn0023517,Pgam5,X,1872400,1873565,1165
FBgn0023516,Pex5,X,1866832,1869061,2229
FBgn0023515,Gcna,X,1862009,1865835,3826
FBgn0028969,deltaCOP,X,1859141,1861790,2649
FBgn0026090,Lamtor5,X,1857889,1858971,1082
FBgn0029590,CG14811,X,1821469,1822381,912
FBgn0025624,CG4025,X,2076966,2078455,1489
FBgn0040395,Unc-76,X,2080610,2093948,13338
FBgn0000382,csw,X,2094234,2115701,21467
FBgn0023507,D2hgdh,X,2141489,2144937,3448
FBgn0004654,Pgd,X,2145136,2148566,3430
FBgn0023540,CG3630,X,2162196,2172281,10085
FBgn0025839,ND-B14.5A,X,2172526,2173432,906
FBgn0011576,Cyp4d2,X,2176006,2178728,2722
FBgn0015036,Cyp4ae1,X,2179007,2180998,1991
FBgn0003116,pn,X,2181211,2182916,1705
FBgn0040899,CG17776,X,2184725,2185258,533
FBgn0040900,CG17777,X,2186855,2187741,886
FBgn0023549,Mct1,X,2189188,2205373,16185
FBgn0029606,CG14052,X,2223754,2224969,1215
FBgn0003048,pcx,X,2225296,2238045,12749
FBgn0000810,fs(1)K10,X,2242138,2246041,3903
FBgn0023523,Or2a,X,2246231,2247567,1336
FBgn0023527,CG3071,X,2262837,2264825,1988
FBgn0040391,CG2854,X,2327128,2328941,1813
FBgn0053218,lncRNA:CR33218,X,2330159,2330826,667
FBgn0003079,Raf,X,2295466,2343870,48404
FBgn0003159,CG2841,X,2344949,2366356,21407
FBgn0040389,mRpL14,X,2343997,2344649,652
FBgn0044047,Ilp6,X,2331493,2334658,3165
FBgn0040392,CG14050,X,2324748,2326217,1469
FBgn0023526,CG2865,X,2278031,2293411,15380
FBgn0023529,Grp170,X,2271008,2275068,4060
FBgn0023528,CG2924,X,2264657,2270761,6104
FBgn0027296,temp,X,2260207,2262515,2308
FBgn0023524,CG3078,X,2254403,2259863,5460
FBgn0023525,CG3191,X,2250145,2251993,1848
FBgn0000377,crn,X,2247594,2249983,2389
FBgn0001330,kz,X,2237858,2242035,4177
FBgn0004397,Vinc,X,2214347,2222567,8220
FBgn0023550,FarO,X,2201820,2203866,2046
FBgn0029603,CG14053,X,2191639,2193909,2270
FBgn0023542,Nmd3,X,2182818,2184668,1850
FBgn0023541,Cyp4d14,X,2173415,2175315,1900
FBgn0005670,Cyp4d1,X,2159145,2162180,3035
FBgn0004655,wapl,X,2149936,2158983,9047
FBgn0013432,bcn92,X,2148463,2149647,1184
FBgn0004861,ph-p,X,2126210,2138371,12161
FBgn0004860,ph-d,X,2115727,2123286,7559
FBgn0040394,CG16903,X,2078343,2080405,2062
FBgn0040376,AANATL7,X,2580958,2583823,2865
FBgn0040066,wds,X,2585980,2588217,2237
FBgn0001404,egh,X,2588503,2599111,10608
FBgn0040336,Seipin,X,2619799,2622140,2341
FBgn0040333,brv3,X,2622069,2624575,2506
FBgn0040334,Tsp3A,X,2617758,2619738,1980
FBgn0029629,eIF3g1,X,2609247,2610336,1089
FBgn0011566,Smyd3,X,2606680,2608876,2196
FBgn0011606,Klp3A,X,2599158,2604052,4894
FBgn0040375,CG13760,X,2583745,2585699,1954
FBgn0040377,Vha36-3,X,2579091,2580560,1469
FBgn0040388,boi,X,2444167,2470043,25876
FBgn0003714,tko,X,2442313,2443976,1663
FBgn0001150,gt,X,2427113,2428967,1854
FBgn0003371,sgg,X,2633952,2679553,45601
FBgn0003068,per,X,2685580,2692780,7200
FBgn0024993,Lint-O,X,2698701,2701033,2332
FBgn0024996,eIF2Bbeta,X,2704571,2706217,1646
FBgn0024997,CG2681,X,2708684,2711668,2984
FBgn0024991,CG2694,X,2714079,2717654,3575
FBgn0000928,fs(1)Yb,X,2720468,2724158,3690
FBgn0000927,fs(1)Ya,X,2724286,2726577,2291
FBgn0000520,dwg,X,2727698,2730042,2344
FBgn0024975,CG2712,X,2732469,2734402,1933
FBgn0003996,w,X,2790599,2796466,5867
FBgn0040384,CG32795,X,2782906,2790567,7661
FBgn0024980,Syx4,X,2739089,2744076,4987
FBgn0000376,crm,X,2734248,2738773,4525
FBgn0024973,CG2701,X,2717638,2720327,2689
FBgn0024998,CG2685,X,2711756,2713960,2204
FBgn0024995,CG2680,X,2706151,2707427,1276
FBgn0024994,Ugalt,X,2701124,2703852,2728
FBgn0024992,Spg7,X,2694392,2698211,3819
FBgn0000092,dyw,X,2692732,2693886,1154
FBgn0025838,CG2652,X,2681987,2682932,945
FBgn0011276,HLH3B,X,2680199,2681723,1524
FBgn0004647,N,X,3134870,3172221,37351
FBgn0040396,CG3939,X,3175018,3176223,1205
FBgn0000479,dnc,X,3176440,3343767,167327
FBgn0029660,CG10801,X,3460592,3462500,1908
FBgn0029662,CG12206,X,3465737,3474524,8787
FBgn0029659,CG16782,X,3459016,3460240,1224
FBgn0029657,CG12535,X,3387944,3448943,60999
FBgn0000644,Fcp3C,X,3173376,3174474,1098
FBgn0028746,CG18508,X,3172268,3173140,872
FBgn0052793,CG32793,X,2929796,2932626,2830
FBgn0029643,CG14420,X,2938856,2940527,1671
FBgn0029644,CG14421,X,2941408,2942329,921
FBgn0029646,CG14423,X,2945403,2946589,1186
FBgn0029648,CG3603,X,2948034,2949120,1086
FBgn0028369,kirre,X,2740384,3134532,394148
FBgn0003285,rst,X,2950399,2973834,23435
FBgn0025644,CG14424,X,2925884,2927258,1374
FBgn0029639,CG14419,X,2885186,2885914,728
FBgn0040353,CG14417,X,2875428,2876533,1105
FBgn0040352,CG14416,X,2871884,2872853,969
FBgn0029664,CG10802,X,3482965,3484555,1590
FBgn0029666,CG10803,X,3485650,3490915,5265
FBgn0029669,CG13021,X,3514316,3515757,1441
FBgn0052792,ppk8,X,3557812,3572000,14188
FBgn0044046,Ilp7,X,3667621,3668845,1224
FBgn0023215,Mnt,X,3671801,3701672,29871
FBgn0015286,Rala,X,3704610,3719635,15025
FBgn0023216,Parg,X,3668837,3671502,2665
FBgn0029672,CG2875,X,3571456,3573622,2166
FBgn0052791,DIP-alpha,X,3507245,3571649,64404
FBgn0029667,Gas8,X,3491011,3504851,13840
FBgn0029665,CG14270,X,3484605,3485378,773
FBgn0029663,CG10804,X,3476463,3482322,5859
FBgn0028491,CG2930,X,3868973,3880379,11406
FBgn0029681,CG15239,X,3884168,3890486,6318
FBgn0029686,Glos,X,3936517,3940582,4065
FBgn0052786,Gem4b,X,3940847,3944265,3418
FBgn0052783,Gem4c,X,3945043,3948460,3417
FBgn0029687,Vap33,X,3948975,3955442,6467
FBgn0029690,CG6414,X,3968788,3971350,2562
FBgn0029689,CG6428,X,3965435,3968655,3220
FBgn0029688,lva,X,3955543,3965327,9784
FBgn0029685,CG2938,X,3932000,3936469,4469
FBgn0019661,lncRNA:roX1,X,3857230,3862697,5467
FBgn0029694,CG15375,X,4101318,4102995,1677
FBgn0000221,brn,X,4104342,4105791,1449
FBgn0026084,cib,X,4106113,4110981,4868
FBgn0026085,dgt4,X,4113701,4114929,1228
FBgn0026083,tyf,X,4117020,4130016,12996
FBgn0066114,GlcAT-I,X,4131211,4132833,1622
FBgn0029697,CG15570,X,4218170,4223331,5161
FBgn0029706,CG3626,X,4366417,4371136,4719
FBgn0029705,CG12693,X,4327080,4329457,2377
FBgn0040907,mRpL33,X,4321764,4322231,467
FBgn0002707,mei-9,X,4314230,4318801,4571
FBgn0040906,CG15579,X,4311279,4311799,520
FBgn0029703,CG12692,X,4300117,4302346,2229
FBgn0000635,Fas2,X,4132887,4206093,73206
FBgn0026080,Tip60,X,4114800,4117487,2687
FBgn0026079,Nsun2,X,4111156,4113734,2578
FBgn0004832,Xpac,X,4102955,4104197,1242
FBgn0029693,Cmtr1,X,4097592,4101031,3439
FBgn0000179,bi,X,4412856,4485647,72791
FBgn0029708,CG3556,X,4530231,4535464,5233
FBgn0029709,CHOp24,X,4540908,4542506,1598
FBgn0029710,CG3568,X,4542630,4544497,1867
FBgn0029712,CG15912,X,4549070,4549957,887
FBgn0029714,CG3527,X,4551973,4553006,1033
FBgn0022768,Pp2C1,X,4679988,4686903,6915
FBgn0029715,CG11444,X,4553117,4554398,1281
FBgn0029713,CG11436,X,4549883,4551878,1995
FBgn0029711,Usf,X,4544617,4548794,4177
FBgn0003210,rb,X,4535635,4540626,4991
FBgn0052773,lncRNA:CR32773,X,4387676,4611385,223709
FBgn0011760,ctp,X,4687800,4702034,14234
FBgn0028325,Pdha,X,4702284,4705265,2981
FBgn0029722,CG7024,X,4705309,4707504,2195
FBgn0029727,CG6978,X,4784075,4786059,1984
FBgn0029730,boil,X,4875670,4877263,1593
FBgn0029733,CG6927,X,4906900,4908821,1921
FBgn0052772,CG32772,X,4909102,4915161,6059
FBgn0029737,Hgsnat,X,4918730,4921648,2918
FBgn0004368,Ptp4E,X,4939128,4955916,16788
FBgn0029728,CG2861,X,4797231,4804862,7631
FBgn0029745,Rpn13R,X,5131898,5132985,1087
FBgn0029746,CG15465,X,5085759,5254864,169105
FBgn0003449,snf,X,5309242,5310501,1259
FBgn0011761,dhd,X,5312171,5313125,954
FBgn0029753,CG4198,X,5313258,5315190,1932
FBgn0029755,Sas10,X,5317409,5319071,1662
FBgn0014024,Rnp4F,X,5318928,5322696,3768
FBgn0029754,CG15930,X,5315130,5317295,2165
FBgn0029752,TrxT,X,5310581,5311888,1307
FBgn0029751,CG17764,X,5306261,5307417,1156
FBgn0029750,CG3323,X,5302988,5305691,2703
FBgn0052767,CG32767,X,5071027,5084768,13741
FBgn0026751,XRCC1,X,5329876,5332435,2559
FBgn0010014,CanB,X,5332499,5334449,1950
FBgn0029761,SK,X,5340236,5405138,64902
FBgn0029763,Usp16-45,X,5421533,5427219,5686
FBgn0029765,CG16756,X,5427517,5428217,700
FBgn0029766,CG15784,X,5429571,5432526,2955
FBgn0029768,SPR,X,5446656,5494012,47356
FBgn0029771,CG12730,X,5516608,5518771,2163
FBgn0026702,Pop1,X,5622648,5625493,2845
FBgn0004687,Mlc-c,X,5619136,5622539,3403
FBgn0029778,RhoGAP5A,X,5616572,5618806,2234
FBgn0029769,frma,X,5493014,5496052,3038
FBgn0029762,NAAT1,X,5405238,5410849,5611
FBgn0029756,CG3309,X,5326675,5329347,2672
FBgn0028474,CG4119,X,5666052,5670652,4600
FBgn0029785,RpL35,X,5672401,5673547,1146
FBgn0003747,Gr5a,X,5680617,5682488,1871
FBgn0000394,cv,X,5690002,5693084,3082
FBgn0029791,AdamTS-B,X,5698557,5708633,10076
FBgn0029795,CG15773,X,5732740,5734614,1874
FBgn0029798,Rtel1,X,5747747,5752077,4330
FBgn0029799,CG15772,X,5752249,5754041,1792
FBgn0029801,CG15771,X,5755574,5759751,4177
FBgn0029809,CG15767,X,5789487,5790919,1432
FBgn0029810,CG12239,X,5792140,5794543,2403
FBgn0029814,CG15765,X,5818559,5840823,22264
FBgn0029820,CG16721,X,5879869,5883391,3522
FBgn0029821,CG4020,X,5905746,5908001,2255
FBgn0029822,CG12236,X,5908135,5913079,4944
FBgn0029823,Shmt,X,5913067,5916797,3730
FBgn0029819,Usp30,X,5877000,5879787,2787
FBgn0014340,mof,X,5873840,5876853,3013
FBgn0029818,GAA1,X,5870841,5873357,2516
FBgn0029813,AgmNAT,X,5814864,5815820,956
FBgn0029804,CG3097,X,5765855,5770780,4925
FBgn0013987,MAPk-Ak2,X,5759908,5764203,4295
FBgn0029800,lin-52,X,5753390,5754958,1568
FBgn0261383,IntS6,X,5738663,5747254,8591
FBgn0052758,Snx27,X,5719374,5738031,18657
FBgn0053080,CG33080,X,5708559,5717778,9219
FBgn0027564,CG3149,X,5692945,5695205,2260
FBgn0029789,PGAP1,X,5685253,5689473,4220
FBgn0046687,Tre1,X,5673830,5679977,6147
FBgn0015794,Rab18,X,5670827,5671812,985
FBgn0029783,Sirt4,X,5664628,5665940,1312
FBgn0029824,CG3726,X,5917097,5941852,24755
FBgn0029825,CG12728,X,5942606,5945250,2644
FBgn0052756,CG32756,X,5945682,5948353,2671
FBgn0029826,CG6041,X,5948160,5950208,2048
FBgn0052755,CG32755,X,5950251,5951711,1460
FBgn0029828,CG6067,X,5955629,5958283,2654
FBgn0029830,Grip,X,5966279,5986699,20420
FBgn0029831,CG5966,X,5988791,5992640,3849
FBgn0029833,MCTS1,X,6037892,6039576,1684
FBgn0029834,CG5937,X,6040005,6050381,10376
FBgn0029835,CG5921,X,6050828,6065646,14818
FBgn0029843,Nep1,X,6091205,6103971,12766
FBgn0029849,Efr,X,6219957,6222719,2762
FBgn0003514,sqh,X,6223061,6225140,2079
FBgn0029848,Btnd,X,6217268,6219327,2059
FBgn0052750,CG32750,X,6194737,6196439,1702
FBgn0026060,Mipp2,X,6082709,6091471,8762
FBgn0029840,raptor,X,6082634,6090201,7567
FBgn0029839,CG4660,X,6078708,6081372,2664
FBgn0029838,CG4666,X,6076072,6077786,1714
FBgn0029837,Tsp5D,X,6069131,6074857,5726
FBgn0003302,rux,X,6035753,6037800,2047
FBgn0029003,mab-21,X,6008183,6013181,4998
FBgn0027546,CG4766,X,5997508,6000797,3289
FBgn0005390,fs(1)M3,X,5958207,5964247,6040
FBgn0029851,CG14445,X,6237315,6240558,3243
FBgn0015818,Spx,X,6255822,6257596,1774
FBgn0029853,Josd,X,6261169,6262119,950
FBgn0028982,Spt6,X,6267797,6274984,7187
FBgn0029857,wuho,X,6288100,6289562,1462
FBgn0029858,mldr,X,6291303,6294177,2874
FBgn0029861,CG3815,X,6295389,6298970,3581
FBgn0029863,CG3823,X,6303975,6306745,2770
FBgn0029864,CG15894,X,6309212,6329828,20616
FBgn0029866,CG3842,X,6337762,6343731,5969
FBgn0029867,CG3847,X,6347103,6349236,2133
FBgn0029873,CG3918,X,6524464,6526342,1878
FBgn0014031,Agxt,X,6528948,6530726,1778
FBgn0000524,dx,X,6533999,6538575,4576
FBgn0014026,RpL7A,X,6530897,6533348,2451
FBgn0029874,CG3342,X,6526106,6527888,1782
FBgn0003139,PpV,X,6371065,6372915,1850
FBgn0003655,swa,X,6363418,6365708,2290
FBgn0016974,swaPsi,X,6361496,6363310,1814
FBgn0029868,ND-B16.6,X,6349016,6350401,1385
FBgn0043796,CG12219,X,6299054,6301285,2231
FBgn0028685,Rpt4,X,6289470,6291245,1775
FBgn0026015,Top3beta,X,6284138,6287990,3852
FBgn0029856,CG11700,X,6282037,6283575,1538
FBgn0052745,CR32745,X,6280233,6280752,519
FBgn0040918,schlank,X,6257668,6267228,9560
FBgn0004611,Plc21C,2L,305935,355566,49631
FBgn0053127,CG33127,2L,322101,323091,990
FBgn0000061,al,2L,378112,387439,9327
FBgn0003278,Polr1B,2L,404285,407969,3684
FBgn0002593,RpLP1,2L,419952,420864,912
FBgn0031254,CG13692,2L,421771,422489,718
FBgn0031255,BBS8,2L,422873,425321,2448
FBgn0004583,ex,2L,431227,448701,17474
FBgn0031256,shv,2L,453108,454654,1546
FBgn0031257,CG4133,2L,455531,458745,3214
FBgn0027592,MED15,2L,473013,476170,3157
FBgn0003963,ush,2L,476220,540560,64340
FBgn0031263,Tspo,2L,559612,560523,911
FBgn0031265,CG2794,2L,564163,566472,2309
FBgn0031266,Sf3b1,2L,568340,572907,4567
FBgn0031268,cold,2L,574291,575734,1443
FBgn0023489,Pph13,2L,577486,579549,2063
FBgn0010323,Gsc,2L,583540,594685,11145
FBgn0013323,Ptth,2L,575711,576896,1185
FBgn0031267,Ipk2,2L,573033,574264,1231
FBgn0021874,Nle,2L,566366,568121,1755
FBgn0031264,uncNacbeta,2L,560568,563819,3251
FBgn0005660,Ets21C,2L,544925,552923,7998
FBgn0031260,Spp,2L,542786,544653,1867
FBgn0010602,lwr,2L,540599,542580,1981
FBgn0043364,cbt,2L,476446,479688,3242
FBgn0031258,CG4297,2L,458876,472200,13324
FBgn0015924,crq,2L,448254,453024,4770
FBgn0031253,CG11885,2L,420895,421450,555
FBgn0031252,CG13690,2L,418434,419652,1218
FBgn0031251,CG4213,2L,396595,402198,5603
FBgn0031250,Ent1,2L,355565,357874,2309
FBgn0051921,CG31921,2L,329910,332335,2425
FBgn0031249,CG11911,2L,320279,321248,969
FBgn0067779,dbr,2L,66482,71390,4908
FBgn0031213,galectin,2L,71757,76211,4454
FBgn0031214,CG11374,2L,76348,77783,1435
FBgn0031216,Zir,2L,94739,102086,7347
FBgn0031217,Creld,2L,102380,104142,1762
FBgn0001142,Gs1,2L,132077,134472,2395
FBgn0031224,CG11454,2L,143323,144227,904
FBgn0031228,ND-15,2L,114726,156030,41304
FBgn0031229,CG3436,2L,156029,157666,1637
FBgn0031231,mRpL10,2L,203779,204782,1003
FBgn0031233,Tbc1d15-17,2L,207179,210725,3546
FBgn0031235,CG13693,2L,232487,234208,1721
FBgn0031240,CG3345,2L,269088,271626,2538
FBgn0003444,smo,2L,277582,282167,4585
FBgn0031247,CG11562,2L,292419,293222,803
FBgn0024352,Stip1,2L,295122,297449,2327
FBgn0020622,Pi3K21B,2L,297880,305233,7353
FBgn0017457,U2af38,2L,292959,294681,1722
FBgn0025686,Amnionless,2L,287252,289144,1892
FBgn0031245,CG3625,2L,283385,291795,8410
FBgn0031244,CG11601,2L,281670,283269,1599
FBgn0031238,Dus1,2L,252589,271744,19155
FBgn0031239,CG17075,2L,259949,267505,7556
FBgn0031232,CG11617,2L,204743,207297,2554
FBgn0031227,Pus10,2L,153539,155305,1766
FBgn0051974,CG31974,2L,141077,143091,2014
FBgn0051975,CG31975,2L,138384,140992,2608
FBgn0051976,ovm,2L,138384,140992,2608
FBgn0031219,CG13694,2L,115365,116488,1123
FBgn0026787,Nhe1,2L,103962,106732,2770
FBgn0002931,net,2L,82421,87387,4966
FBgn0051973,Cda5,2L,25402,65404,40002
FBgn0031209,Ir21a,2L,21823,25155,3332
FBgn0002121,l(2)gl,2L,9839,21376,11537
FBgn0036970,Spn77Bc,3L,20342634,20344319,1685
FBgn0036974,eRF1,3L,20348355,20353873,5518
FBgn0036975,CG5618,3L,20353449,20356632,3183
FBgn0024887,kin17,3L,20356807,20358331,1524
FBgn0001259,in,3L,20367198,20370259,3061
FBgn0036979,CG13247,3L,20370313,20371746,1433
FBgn0036980,RhoBTB,3L,20376242,20382398,6156
FBgn0036985,zye,3L,20413604,20424309,10705
FBgn0036991,CtIP,3L,20436250,20438370,2120
FBgn0036993,CG5910,3L,20442419,20450580,8161
FBgn0036996,mag,3L,20460683,20462274,1591
FBgn0036997,Tdh,3L,20466944,20469592,2648
FBgn0036998,CG5969,3L,20473783,20474791,1008
FBgn0036999,isoQC,3L,20474466,20477003,2537
FBgn0037001,ND-39,3L,20492082,20497084,5002
FBgn0052425,CG32425,3L,20497323,20514107,16784
FBgn0037003,CG18281,3L,20499836,20501500,1664
FBgn0037004,CG17637,3L,20504186,20505700,1514
FBgn0037005,CG5078,3L,20506032,20507375,1343
FBgn0037009,CG5104,3L,20521009,20522434,1425
FBgn0037011,Nubp2,3L,20526576,20527910,1334
FBgn0001323,knrl,3L,20597141,20620659,23518
FBgn0037012,Rcd2,3L,20527972,20540417,12445
FBgn0037008,mTerf3,3L,20519590,20520772,1182
FBgn0037007,BNIP3,3L,20514598,20519393,4795
FBgn0037000,ZnT77C,3L,20484293,20494921,10628
FBgn0052428,CG32428,3L,20469674,20473723,4049
FBgn0036995,atk,3L,20454690,20464862,10172
FBgn0036994,CG5199,3L,20450532,20452864,2332
FBgn0036992,Hpd,3L,20438166,20439872,1706
FBgn0036990,mRpL15,3L,20435110,20436209,1099
FBgn0029158,Las,3L,20430605,20432361,1756
FBgn0036988,CG5262,3L,20427962,20430475,2513
FBgn0036987,CG5274,3L,20426199,20427666,1467
FBgn0036986,CG5282,3L,20424424,20426071,1647
FBgn0036984,CG13248,3L,20407103,20410566,3463
FBgn0028978,trbl,3L,20396288,20401609,5321
FBgn0027565,CG5498,3L,20382405,20384109,1704
FBgn0001247,Ide,3L,20371672,20375896,4224
FBgn0036973,Rbbp5,3L,20345736,20347942,2206
FBgn0037014,CG13251,3L,20637199,20640910,3711
FBgn0037016,CG13252,3L,20730591,20744508,13917
FBgn0040634,CG4186,3L,20769586,20770138,552
FBgn0016696,Pitslre,3L,20771528,20776931,5403
FBgn0037020,Pex14,3L,20778799,20780378,1579
FBgn0037024,tzn,3L,20798645,20800081,1436
FBgn0037025,Spc105R,3L,20800410,20806853,6443
FBgn0037027,HIPP1,3L,20809669,20813332,3663
FBgn0037030,CG3288,3L,20836182,20837153,971
FBgn0040636,CG13255,3L,20837488,20838839,1351
FBgn0037031,CG11456,3L,20841987,20844340,2353
FBgn0040637,CG11458,3L,20905795,20906331,536
FBgn0037035,CG10589,3L,20927826,20929190,1364
